
# Surface 0 of 1 surfaces

# Curve title: ""Thesis_contourtmp1.dat""

# Contour 0, label:     0.05
 19922  10.86  0.05 
 19597  11.5155  0.05 
 19587.3  11.5359  0.05 
 19272  12.1865  0.05 
 19191.1  12.3596  0.05 
 18947  12.8779  0.05 
 18807.3  13.1833  0.05 
 18622  13.5781  0.05 
 18426.9  14.007  0.05 
 18297  14.2758  0.05 
 18036.6  14.8307  0.05 
 17972  14.9712  0.05 
 17667.4  15.6544  0.05 
 17647  15.7026  0.05 
 17329.7  16.4781  0.05 
 17322  16.4998  0.05 
 17047  17.3018  0.05 
 16997  17.4891  0.05 
 16834.9  18.1254  0.05 
 16699.9  18.9491  0.05 
 16672  19.2195  0.05 
 16631  19.7728  0.05 
 16666.2  20.5965  0.05 

 19922 -10.1569  0.05 
 19597 -10.7396  0.05 
 19527.1 -10.8686  0.05 
 19272 -11.3747  0.05 
 19116.1 -11.6923  0.05 
 18947 -12.0356  0.05 
 18717.5 -12.516  0.05 
 18622 -12.7109  0.05 
 18323.1 -13.3396  0.05 
 18297 -13.3937  0.05 
 17972 -14.0857  0.05 
 17936.6 -14.1633  0.05 
 17647 -14.7727  0.05 
 17548 -14.987  0.05 
 17322 -15.4885  0.05 
 17181.1 -15.8107  0.05 
 16997 -16.263  0.05 
 16850.9 -16.6344  0.05 
 16672 -17.1553  0.05 
 16572 -17.4581  0.05 
 16363.4 -18.2818  0.05 
 16347 -18.3771  0.05 
 16230.2 -19.1055  0.05 


# Contour 1, label:     0.15
 12179  20.5965  0.15 
 12122  20.1621  0.15 
 12072.1  19.7728  0.15 
 12032.9  18.9491  0.15 
 12057.8  18.1254  0.15 
 12122  17.4861  0.15 
 12141.6  17.3018  0.15 
 12285.3  16.4781  0.15 
 12447  15.7508  0.15 
 12469.5  15.6544  0.15 
 12679.8  14.8307  0.15 
 12772  14.4763  0.15 
 12899.5  14.007  0.15 
 13097  13.2115  0.15 
 13104.3  13.1833  0.15 
 13305.8  12.3596  0.15 
 13422  11.8669  0.15 
 13503.7  11.5359  0.15 
 13707.7  10.7122  0.15 
 13747  10.5754  0.15 
 13952.5  9.88851  0.15 
 14072  9.53307  0.15 
 14235.1  9.06482  0.15 
 14397  8.6507  0.15 
 14562  8.24112  0.15 
 14722  7.88072  0.15 
 14933  7.41743  0.15 
 15047  7.18909  0.15 
 15350.3  6.59373  0.15 
 15372  6.55488  0.15 
 15697  5.98459  0.15 
 15821.1  5.77004  0.15 
 16022  5.45297  0.15 
 16345.2  4.94635  0.15 
 16347  4.94378  0.15 
 16672  4.49524  0.15 
 16941.4  4.12265  0.15 
 16997  4.05643  0.15 
 17322  3.67298  0.15 
 17635.4  3.29896  0.15 
 17647  3.16884  0.15 
 17972 -0.452523  0.15 
 18166.5 -2.63163  0.15 
 17972 -2.81786  0.15 
 17647 -3.12644  0.15 
 17322 -3.42912  0.15 
 17294.1 -3.45533  0.15 
 16997 -3.80284  0.15 
 16672 -4.17919  0.15 
 16586.3 -4.27902  0.15 
 16347 -4.60135  0.15 
 16022 -5.03874  0.15 
 15975.1 -5.10271  0.15 
 15697 -5.52703  0.15 
 15436.5 -5.92641  0.15 
 15372 -6.03525  0.15 
 15047 -6.59304  0.15 
