
# Surface 0 of 1 surfaces

# Curve title: ""Thesis_contourtmp0.dat""

# Contour 0, label:     0.05
 14722  1.17871  0.05 
 15047  1.20486  0.05 
 15372  1.23101  0.05 
 15697  1.2572  0.05 
 16022  1.28335  0.05 
 16347  1.30949  0.05 
 16672  1.33557  0.05 
 16997  1.3616  0.05 
 17322  1.38758  0.05 
 17647  1.41357  0.05 
 17972  1.43953  0.05 
 18297  1.46551  0.05 
 18564.3  1.48683  0.05 
 18622  1.49195  0.05 
 18947  1.52046  0.05 
 19272  1.54912  0.05 
 19597  1.57793  0.05 
 19922  1.60693  0.05 

 19922 -1.63368  0.05 
 19597 -1.60708  0.05 
 19272 -1.5803  0.05 
 18947 -1.55335  0.05 
 18622 -1.5262  0.05 
 18297 -1.49891  0.05 
 17972 -1.47149  0.05 
 17647 -1.44397  0.05 
 17322 -1.41634  0.05 
 16997 -1.38863  0.05 
 16672 -1.36086  0.05 
 16347 -1.33302  0.05 
 16022 -1.30518  0.05 
 15697 -1.27737  0.05 
 15372 -1.24963  0.05 
 15047 -1.22201  0.05 
 14722 -1.19458  0.05 
 14397 -1.16732  0.05 
 14072 -1.14023  0.05 
 13747 -1.11324  0.05 
 13422 -1.08623  0.05 
 13097 -1.05916  0.05 
 12772 -1.03195  0.05 
 12447 -1.00459  0.05 
 12207.8 -0.984246  0.05 
 12122 -0.977385  0.05 
 11797 -0.950988  0.05 
 11472 -0.924842  0.05 
 11147 -0.898943  0.05 
 10822 -0.873352  0.05 
 10497 -0.848067  0.05 
 10172 -0.823125  0.05 
 9847 -0.797554  0.05 
 9522 -0.771901  0.05 
 9197 -0.746306  0.05 
 8872 -0.720747  0.05 
 8547 -0.695159  0.05 
 8222 -0.669475  0.05 
 7897 -0.643662  0.05 
 7572 -0.617691  0.05 
 7247 -0.591559  0.05 
 6922 -0.565314  0.05 
 6597 -0.539025  0.05 
 6272 -0.512725  0.05 
 5947 -0.486455  0.05 
 5622 -0.46022  0.05 
 5297 -0.434015  0.05 
 4972 -0.407785  0.05 
 4647 -0.381493  0.05 
 4322 -0.355116  0.05 
 3997 -0.328628  0.05 
 3672 -0.302018  0.05 
 3347 -0.275288  0.05 
 3022 -0.248438  0.05 
 2697 -0.221456  0.05 
 2372 -0.194313  0.05 
 2047 -0.166955  0.05 
 1980.9 -0.160552  0.05 
 2047 -0.150867  0.05 
 2372 -0.108978  0.05 
 2697 -0.0667971  0.05 
 3022 -0.024429  0.05 
