
# Surface 0 of 1 surfaces

# Curve title: ""Thesis_contourtmp2.dat""

# Contour 0, label:     0.25
 19922 -7.48014  0.25 
 19597 -6.89504  0.25 
 19517.4 -6.7501  0.25 
 19272 -6.29084  0.25 
 19079.4 -5.92641  0.25 
 18947 -5.67703  0.25 
 18646.1 -5.10271  0.25 
 18622 -5.05757  0.25 
 18297 -4.43742  0.25 
 18215.5 -4.27902  0.25 
 17972 -3.80052  0.25 
 17800.4 -3.45533  0.25 
 17647 -3.08095  0.25 
 17469.7 -2.63163  0.25 
 17432.2 -1.80794  0.25 
 17549.6  2.14579  0.25 
 17647  2.4583  0.25 
 17814  2.96948  0.25 
 17972  3.26895  0.25 
 18255.2  3.79318  0.25 
 18297  3.86545  0.25 
 18622  4.41684  0.25 
 18741.8  4.61687  0.25 
 18947  4.97009  0.25 
 19223.1  5.44056  0.25 
 19272  5.52653  0.25 
 19597  6.09033  0.25 
 19698.2  6.26426  0.25 
 19922  6.64823  0.25 


# Contour 1, label:      0.5
 19922 -16.6167  0.5 
 19597 -16.5244  0.5 
 19272 -16.4015  0.5 
 18947 -16.2592  0.5 
 18622 -16.3339  0.5 
 18297 -16.4873  0.5 
 17996.9 -16.6344  0.5 
 17972 -16.6453  0.5 
 17647 -16.7902  0.5 
 17322 -16.932  0.5 
 16997 -16.7824  0.5 
 16884.3 -16.6344  0.5 
 16672 -16.2443  0.5 
 16438.3 -15.8107  0.5 
 16347 -15.6122  0.5 
 16063.7 -14.987  0.5 
 16022 -14.8961  0.5 
 15697 -14.1778  0.5 
 15690.6 -14.1633  0.5 
 15372 -13.5404  0.5 
 15270.6 -13.3397  0.5 
 15047 -12.9478  0.5 
 14802.8 -12.516  0.5 
 14722 -12.3894  0.5 
 14397 -11.8735  0.5 
 14284.1 -11.6923  0.5 
 14072 -11.3529  0.5 
 13771.3 -10.8686  0.5 
 13747 -10.8252  0.5 
 13422 -10.2342  0.5 
 13319.3 -10.0449  0.5 
 13097 -9.59237  0.5 
 12917.6 -9.22118  0.5 
 12772 -8.88528  0.5 
 12565 -8.39749  0.5 
 12447 -8.09544  0.5 
 12248.4 -7.57379  0.5 
 12122 -7.21744  0.5 
 11961.1 -6.7501  0.5 
 11797 -6.25068  0.5 
 11694 -5.92641  0.5 
 11472 -5.20807  0.5 
 11440.6 -5.10271  0.5 
 11204.9 -4.27902  0.5 
 11147 -4.05299  0.5 
 11001.1 -3.45533  0.5 
 10882.8 -2.63163  0.5 
 11026.9 -1.80794  0.5 
 11066.5  2.14579  0.5 
 11132.6  2.96948  0.5 
 11147  3.02308  0.5 
 11362.7  3.79318  0.5 
 11472  4.12087  0.5 
 11643.2  4.61687  0.5 
 11797  5.05462  0.5 
 11936.8  5.44056  0.5 
 12122  5.95449  0.5 
 12236.8  6.26426  0.5 
 12447  6.8225  0.5 
 12549.5  7.08795  0.5 
 12772  7.64549  0.5 
 12880.6  7.91165  0.5 
 13097  8.41011  0.5 
 13240.9  8.73534  0.5 
 13422  9.11234  0.5 
 13639.9  9.55903  0.5 
 13747  9.75958  0.5 
 14072  10.3606  0.5 
 14084.2  10.3827  0.5 
 14397  10.8904  0.5 
 14592.8  11.2064  0.5 
 14722  11.4054  0.5 
 15047  11.901  0.5 
 15132.7  12.0301  0.5 
 15372  12.4016  0.5 
 15664.2  12.8538  0.5 
 15697  12.9135  0.5 
 16022  13.4969  0.5 
 16123.7  13.6775  0.5 
 16347  14.1264  0.5 
 16535.5  14.5012  0.5 
 16672  14.7984  0.5 
 16917.1  15.3249  0.5 
 16997  15.4905  0.5 
 17318.6  16.1486  0.5 
 17322  16.1542  0.5 
 17647  16.6147  0.5 
 17972  16.621  0.5 
 18297  16.4814  0.5 
 18622  16.3363  0.5 
 18947  16.257  0.5 
 19272  16.4003  0.5 
 19597  16.5196  0.5 
 19922  16.6077  0.5 


# Contour 2, label:        1
 12933.3  20.267  1 
 12772  20.1294  1 
 12447  19.8485  1 
 12122  19.5675  1 
 11980.6  19.4434  1 
 11797  19.2341  1 
 11472  18.8592  1 
 11266.6  18.6197  1 
 11147  18.44  1 
 10822  17.9425  1 
 10728.4  17.796  1 
 10497  17.3294  1 
 10324.2  16.9723  1 
 10172  16.5649  1 
 10021.9  16.1486  1 
 9847  15.5474  1 
 9785.04  15.3249  1 
 9560.44  14.5012  1 
 9522  14.3747  1 
 9319.19  13.6775  1 
 9197  13.3151  1 
 9047.86  12.8538  1 
 8872  12.4034  1 
 8731.68  12.0301  1 
 8547  11.5643  1 
 8410.5  11.2064  1 
 8222  10.6992  1 
 8109.32  10.3827  1 
 7897  9.73096  1 
 7843.69  9.55903  1 
 7606.32  8.73534  1 
 7572  8.60772  1 
 7395.26  7.91165  1 
 7247  7.30327  1 
 7197.73  7.08795  1 
 7014.29  6.26426  1 
 6922  5.84629  1 
 6838.36  5.44056  1 
 6668.42  4.61687  1 
 6597  4.25653  1 
 6511.82  3.79318  1 
 6393.38  2.96948  1 
 6386.03  2.14579  1 
 6341.34 -1.80794  1 
 6272 -2.15224  1 
 6180.84 -2.63163  1 
 6201.39 -3.45533  1 
 6272 -4.16507  1 
 6284.49 -4.27902  1 
 6399.9 -5.10271  1 
 6526.24 -5.92641  1 
 6597 -6.35941  1 
 6666.09 -6.7501  1 
 6821.88 -7.57379  1 
 6922 -8.06314  1 
 6995.28 -8.39749  1 
 7191.64 -9.22118  1 
 7247 -9.43014  1 
 7419.68 -10.0449  1 
 7572 -10.5431  1 
 7676.77 -10.8686  1 
 7897 -11.4962  1 
 7968.98 -11.6923  1 
 8222 -12.3962  1 
 8266.91 -12.516  1 
 8534.31 -13.3397  1 
 8547 -13.3847  1 
 8776.95 -14.1633  1 
 8872 -14.5418  1 
 8989.41 -14.987  1 
 9197 -15.8011  1 
 9199.56 -15.8107  1 
 9456.39 -16.6344  1 
 9522 -16.7996  1 
 9792.8 -17.4581  1 
 9847 -17.558  1 
 10172 -18.1399  1 
 10253.2 -18.2818  1 
 10497 -18.6114  1 
 10822 -19.046  1 
 10867.6 -19.1055  1 


# Contour 3, label:      1.5
 9048.88  20.267  1.5 
 8872  20.0527  1.5 
 8547  19.6511  1.5 
 8382.67  19.4434  1.5 
 8222  19.1825  1.5 
 7897  18.642  1.5 
 7884.15  18.6197  1.5 
 7572  17.9282  1.5 
 7514.77  17.796  1.5 
 7247  17.0042  1.5 
 7236.78  16.9723  1.5 
 7035.32  16.1486  1.5 
 6922  15.5759  1.5 
 6875.96  15.3249  1.5 
 6727.23  14.5012  1.5 
 6597  13.8702  1.5 
 6560.21  13.6775  1.5 
 6375.52  12.8538  1.5 
 6272  12.4789  1.5 
 6156.72  12.0301  1.5 
 5947  11.2731  1.5 
 5929.89  11.2064  1.5 
 5722.59  10.3827  1.5 
 5622  9.95296  1.5 
 5537.4  9.55903  1.5 
 5370.75  8.73534  1.5 
 5297  8.35047  1.5 
 5220.73  7.91165  1.5 
 5082.67  7.08795  1.5 
 4972  6.42507  1.5 
 4947.88  6.26426  1.5 
 4825.57  5.44056  1.5 
 4700.72  4.61687  1.5 
 4647  4.24814  1.5 
 4587.97  3.79318  1.5 
 4504.91  2.96948  1.5 
 4502.67  2.14579  1.5 
 4443.66 -1.80794  1.5 
 4322 -2.48529  1.5 
