
# Surface 0 of 1 surfaces

# Curve title: ""Thesis_contourtmp3.dat""

# Contour 0, label:     99.7
 8730.12 -7.57379  99.25 
 8872 -8.10144  99.25 
 8955.48 -8.39749  99.25 
 9197 -9.18766  99.25 
 9207.69 -9.22118  99.25 
 9499.4 -10.0449  99.25 
 9522 -10.1031  99.25 
 9829.29 -10.8686  99.25 
 9847 -10.9088  99.25 
 10172 -11.6242  99.25 
 10203.8 -11.6923  99.25 
 10497 -12.3282  99.25 
 10585.7 -12.516  99.25 
 10822 -13.0876  99.25 
 10929 -13.3397  99.25 
 11147 -13.9263  99.25 
 11237.7 -14.1633  99.25 
 11472 -14.8746  99.25 
 11510.2 -14.987  99.25 
 11783.9 -15.8107  99.25 
 11797 -15.8446  99.25 
 12111.8 -16.6344  99.25 
 12122 -16.6545  99.25 
 12447 -17.2771  99.25 
 12543.2 -17.4581  99.25 
 12772 -17.783  99.25 
 13097 -18.2407  99.25 
 13126.8 -18.2818  99.25 
 13422 -18.5952  99.25 
 13747 -18.9392  99.25 
 13905.9 -19.1055  99.25 

 17718.8  20.267  99.25 
 17647  20.2481  99.25 
 17322  20.237  99.25 
 17247.3  20.267  99.25 

 19922  20.0959  99.25 
 19597  20.1655  99.25 
 19272  20.2265  99.25 
 19036  20.267  99.25 


# Contour 3, label:       99
 12822.7  20.267  99 
 12772  20.2238  99 
 12447  19.9407  99 
 12122  19.6574  99 
 11878.3  19.4434  99 
 11797  19.3507  99 
 11472  18.9728  99 
 11169.3  18.6197  99 
 11147  18.5862  99 
 10822  18.0847  99 
 10637.5  17.796  99 
 10497  17.5126  99 
 10235.6  16.9723  99 
 10172  16.802  99 
 9936.4  16.1486  99 
 9847  15.8413  99 
 9703.19  15.3249  99 
 9522  14.6627  99 
 9479.8  14.5012  99 
 9239.15  13.6775  99 
 9197  13.5525  99 
 8971.09  12.8538  99 
 8872  12.6  99 
 8657.78  12.0301  99 
 8547  11.7507  99 
 8339.39  11.2064  99 
 8222  10.8905  99 
 8041.18  10.3827  99 
 7897  9.9401  99 
 7778.83  9.55903  99 
 7572  8.8445  99 
 7542.1  8.73534  99 
 7332.01  7.91165  99 
 7247  7.56273  99 
 7138.34  7.08795  99 
 6953.22  6.26426  99 
 6922  6.12284  99 
 6781.31  5.44056  99 
 6609.82  4.61687  99 
 6597  4.55215  99 
 6457.43  3.79318  99 
 6338  2.96948  99 
 6330.82  2.14579  99 
 6285.11 -1.80794  99 
 6272 -1.87306  99 
 6127.71 -2.63163  99 
 6147.78 -3.45533  99 
 6229.93 -4.27902  99 
 6272 -4.60715  99 
 6341.49 -5.10271  99 
 6468.62 -5.92641  99 
 6597 -6.71174  99 
 6603.78 -6.7501  99 
 6760.68 -7.57379  99 
 6922 -8.36213  99 
 6929.75 -8.39749  99 
 7127.59 -9.22118  99 
 7247 -9.67186  99 
 7351.77 -10.0449  99 
 7572 -10.7652  99 
 7605.29 -10.8686  99 
 7894.43 -11.6923  99 
 7897 -11.6997  99 
 8191.27 -12.516  99 
 8222 -12.6147  99 
 8458.36 -13.3396  99 
 8547 -13.6545  99 
 8697.27 -14.1633  99 
 8872 -14.859  99 
 8905.75 -14.987  99 
 9117.21 -15.8107  99 
 9197 -16.0779  99 
 9370.53 -16.6344  99 
 9522 -17.0156  99 
 9703.95 -17.4581  99 
 9847 -17.7218  99 
 10157.8 -18.2818  99 
 10172 -18.3016  99 
 10497 -18.7416  99 
 10768.3 -19.1055  99 


# Contour 4, label:     98.5
 8923.22  20.267  98.5 
 8872  20.205  98.5 
 8547  19.7986  98.5 
 8266.11  19.4434  98.5 
 8222  19.3718  98.5 
 7897  18.8248  98.5 
 7778.92  18.6197  98.5 
 7572  18.1614  98.5 
 7413.89  17.796  98.5 
 7247  17.3025  98.5 
 7141.47  16.9723  98.5 
 6937.83  16.1486  98.5 
 6922  16.0686  98.5 
 6785.51  15.3249  98.5 
 6635.2  14.5012  98.5 
 6597  14.316  98.5 
 6475.05  13.6775  98.5 
 6288.15  12.8538  98.5 
 6272  12.7953  98.5 
 6075.38  12.0301  98.5 
 5947  11.5665  98.5 
 5854.5  11.2064  98.5 
 5644.5  10.3827  98.5 
 5622  10.2866  98.5 
 5465.69  9.55903  98.5 
 5297  8.7361  98.5 
 5296.86  8.73534  98.5 
 5153.6  7.91165  98.5 
 5013.62  7.08795  98.5 
 4972  6.83853  98.5 
 4885.79  6.26426  98.5 
 4761.62  5.44056  98.5 
 4647  4.69324  98.5 
 4636.55  4.61687  98.5 
 4529.29  3.79318  98.5 
 4444.9  2.96948  98.5 
 4442.59  2.14579  98.5 
 4381.4 -1.80794  98.5 
 4322 -2.13885  98.5 
 4241.73 -2.63163  98.5 
 4236.51 -3.45533  98.5 
 4277.9 -4.27902  98.5 
 4322 -4.88141  98.5 
 4340.58 -5.10271  98.5 
 4420.75 -5.92641  98.5 
 4508.22 -6.7501  98.5 
 4603.18 -7.57379  98.5 
 4647 -7.91873  98.5 
 4715.12 -8.39749  98.5 
 4843.55 -9.22118  98.5 
 4972 -9.96683  98.5 
 4986.83 -10.0449  98.5 
 5158.93 -10.8686  98.5 
 5297 -11.4809  98.5 
 5348.89 -11.6923  98.5 
 5545.75 -12.516  98.5 
 5622 -12.892  98.5 
 5720.6 -13.3396  98.5 
 5874.83 -14.1633  98.5 
 5947 -14.6238  98.5 
 6008.88 -14.987  98.5 
 6143.83 -15.8107  98.5 
 6272 -16.4809  98.5 
 6303.66 -16.6344  98.5 
 6522.44 -17.4581  98.5 
 6597 -17.6701  98.5 
 6824.54 -18.2818  98.5 
 6922 -18.4858  98.5 
 7230.73 -19.1055  98.5 


# Contour 5, label:     97.5
 5429.21  20.267  97.5 
 5297  19.9964  97.5 
 5042.54  19.4434  97.5 
 4972  19.2492  97.5 
 4761.07  18.6197  97.5 
 4647  18.1888  97.5 
 4553.12  17.796  97.5 
 4400.89  16.9723  97.5 
 4322  16.4091  97.5 
 4290  16.1486  97.5 
 4211.17  15.3249  97.5 
 4132.23  14.5012  97.5 
 4039.11  13.6775  97.5 
 3997  13.3698  97.5 
 3935.82  12.8538  97.5 
 3811.8  12.0301  97.5 
 3674.64  11.2064  97.5 
 3672  11.1904  97.5 
 3557.48  10.3827  97.5 
 3446.91  9.55903  97.5 
 3347  8.78678  97.5 
 3341.4  8.73534  97.5 
 3256.45  7.91165  97.5 
 3172.12  7.08795  97.5 
 3085.95  6.26426  97.5 
 3022  5.66903  97.5 
 3001.75  5.44056  97.5 
 2927.1  4.61687  97.5 
 2852.24  3.79318  97.5 
 2790.84  2.96948  97.5 
 2783.58  2.14579  97.5 
 2697.25 -1.80794  97.5 
 2697 -1.80966  97.5 
 2595.05 -2.63163  97.5 
 2573.82 -3.45533  97.5 
 2584.02 -4.27902  97.5 
 2608.11 -5.10271  97.5 
 2639.86 -5.92641  97.5 
 2677.03 -6.7501  97.5 
 2697 -7.13766  97.5 
 2724.7 -7.57379  97.5 
 2783.93 -8.39749  97.5 
 2850.25 -9.22118  97.5 
 2925.25 -10.0449  97.5 
 3008.01 -10.8686  97.5 
 3022 -10.9945  97.5 
 3113.55 -11.6923  97.5 
 3217.47 -12.516  97.5 
 3303.08 -13.3397  97.5 
 3347 -13.8544  97.5 
 3377.71 -14.1633  97.5 
 3443.01 -14.987  97.5 
 3504.27 -15.8107  97.5 
 3578.82 -16.6344  97.5 
 3672 -17.3914  97.5 
 3681.37 -17.4581  97.5 
 3840.75 -18.2818  97.5 
 3997 -18.8999  97.5 
 4054.66 -19.1055  97.5 


# Contour 6, label:       95
 2592.66  20.267  95 
 2431.93  19.4434  95 
 2372  19.0476  95 
 2320.62  18.6197  95 
 2246.88  17.796  95 
 2194.04  16.9723  95 
 2158.56  16.1486  95 
 2134.09  15.3249  95 
 2108.48  14.5012  95 
 2074.29  13.6775  95 
 2047  13.1917  95 
 2033.14  12.8538  95 
 1986.98  12.0301  95 
 1934.67  11.2064  95 
 1880.15  10.3827  95 
 1827.91  9.55903  95 
 1776.27  8.73534  95 
 1724.37  7.91165  95 
 1722  7.87449  95 
 1687.73  7.08795  95 
 1649.12  6.26426  95 
 1606.61  5.44056  95 
 1559.16  4.61687  95 
 1507.87  3.79318  95 
 1460.21  2.96948  95 
 1440.52  2.14579  95 
 1397  0.635203  95 
 1344.59 -1.80794  95 
 1273.82 -2.63163  95 
 1242.85 -3.45533  95 
 1228.35 -4.27902  95 
 1221.83 -5.10271  95 
 1220.02 -5.92641  95 
 1221.59 -6.7501  95 
 1226.19 -7.57379  95 
 1233.85 -8.39749  95 
 1244.59 -9.22118  95 
 1259 -10.0449  95 
 1276.75 -10.8686  95 
 1297.97 -11.6923  95 
 1317.8 -12.516  95 
 1330.18 -13.3397  95 
 1335.45 -14.1633  95 
 1333.59 -14.987  95 
 1328.58 -15.8107  95 
 1326.79 -16.6344  95 
 1333.71 -17.4581  95 
 1354.94 -18.2818  95 
 1394.48 -19.1055  95 

