x	y	z
0.800000	7.300000	71.817454
0.800000	7.500000	73.785055
0.800000	7.700000	75.752657
0.800000	7.900000	77.720258
1.000000	0.500000	6.148755
1.000000	0.700000	8.608256
1.000000	0.900000	11.067758
1.000000	1.100000	13.527260
1.000000	1.300000	15.986762
1.000000	1.500000	18.446264
1.000000	1.700000	20.905766
1.000000	1.900000	23.365268
1.000000	2.100000	25.824769
1.000000	2.300000	28.284271
1.000000	2.500000	30.743773
1.000000	2.700000	33.203275
1.000000	2.900000	35.662777
1.000000	3.100000	38.122279
1.000000	3.300000	40.581780
1.000000	3.500000	43.041282
1.000000	3.700000	45.500784
1.000000	3.900000	47.960286
1.000000	4.100000	50.419788
1.000000	4.300000	52.879290
1.000000	4.500000	55.338792
1.000000	4.700000	57.798293
1.000000	4.900000	60.257795
1.000000	5.100000	62.717297
1.000000	5.300000	65.176799
1.000000	5.500000	67.636301
1.000000	5.700000	70.095803
1.000000	5.900000	72.555305
1.000000	6.100000	75.014806
1.000000	6.300000	77.474308
1.000000	6.500000	79.933810
1.000000	6.700000	82.393312
1.000000	6.900000	84.852814
1.000000	7.100000	87.312316
1.000000	7.300000	89.771817
1.000000	7.500000	92.231319
1.000000	7.700000	94.690821
1.000000	7.900000	97.150323
1.200000	0.500000	7.378506
1.200000	0.700000	10.329908
1.200000	0.900000	13.281310
1.200000	1.100000	16.232712
1.200000	1.300000	19.184114
1.200000	1.500000	22.135517
1.200000	1.700000	25.086919
1.200000	1.900000	28.038321
1.200000	2.100000	30.989723
1.200000	2.300000	33.941125
1.200000	2.500000	36.892528
1.200000	2.700000	39.843930
1.200000	2.900000	42.795332
1.200000	3.100000	45.746734
1.200000	3.300000	48.698137
1.200000	3.500000	51.649539
1.200000	3.700000	54.600941
1.200000	3.900000	57.552343
1.200000	4.100000	60.503745
1.200000	4.300000	63.455148
1.200000	4.500000	66.406550
1.200000	4.700000	69.357952
1.200000	4.900000	72.309354
1.200000	5.100000	75.260757
1.200000	5.300000	78.212159
1.200000	5.500000	81.163561
1.200000	5.700000	84.114963
1.200000	5.900000	87.066365
1.200000	6.100000	90.017768
1.200000	6.300000	92.969170
1.200000	6.500000	95.920572
1.200000	6.700000	98.871974
1.200000	6.900000	101.823376
1.200000	7.100000	104.774779
1.200000	7.300000	107.726181
1.200000	7.500000	110.677583
1.200000	7.700000	113.628985
1.200000	7.900000	116.580388
1.400000	0.500000	8.608256
1.400000	0.700000	12.051559
1.400000	0.900000	15.494862
1.400000	1.100000	18.938164
1.400000	1.300000	22.381467
1.400000	1.500000	25.824769
1.400000	1.700000	29.268072
1.400000	1.900000	32.711375
1.400000	2.100000	36.154677
1.400000	2.300000	39.597980
1.400000	2.500000	43.041282
1.400000	2.700000	46.484585
1.400000	2.900000	49.927888
1.400000	3.100000	53.371190
1.400000	3.300000	56.814493
1.400000	3.500000	60.257795
1.400000	3.700000	63.701098
1.400000	3.900000	67.144400
1.400000	4.100000	70.587703
1.400000	4.300000	74.031006
1.400000	4.500000	77.474308
1.400000	4.700000	80.917611
1.400000	4.900000	84.360913
1.400000	5.100000	87.804216
1.400000	5.300000	91.247519
