Plot Name 
Original mesh grid size: 60 rows, 43 columns
x	y	z
747.000000	-19.105505	3.039863
747.000000	-18.281811	3.100853
747.000000	-17.458118	3.173664
747.000000	-16.634424	3.258807
747.000000	-15.810730	3.355059
747.000000	-14.987037	3.460205
747.000000	-14.163343	3.570018
747.000000	-13.339650	3.680955
747.000000	-12.515956	3.792141
747.000000	-11.692262	3.902405
747.000000	-10.868569	4.018365
747.000000	-10.044875	4.147194
747.000000	-9.221182	4.291583
747.000000	-8.397488	4.455505
747.000000	-7.573794	4.642673
747.000000	-6.750101	4.858954
747.000000	-5.926407	5.112237
747.000000	-5.102714	5.414600
747.000000	-4.279020	5.786409
747.000000	-3.455326	6.264975
747.000000	-2.631633	6.932485
747.000000	3.298961	8.053805
747.000000	4.122655	7.807392
747.000000	4.946348	7.609352
747.000000	5.770042	7.426018
747.000000	6.593735	7.245687
747.000000	7.417429	7.067774
747.000000	8.241123	6.894314
747.000000	9.064816	6.727687
747.000000	9.888510	6.572513
747.000000	10.712203	6.427492
747.000000	11.535897	6.295858
747.000000	12.359591	6.153337
747.000000	13.183284	5.999837
747.000000	14.006978	5.833697
747.000000	14.830671	5.651579
747.000000	15.654365	5.473566
747.000000	16.478059	5.308391
747.000000	17.301752	5.169123
747.000000	18.125446	5.062670
747.000000	18.949139	4.987656
747.000000	19.772833	4.943910
747.000000	20.596527	4.928056
1072.000000	-19.105505	2.396761
1072.000000	-18.281811	2.430041
1072.000000	-17.458118	2.473835
1072.000000	-16.634424	2.528294
1072.000000	-15.810730	2.591811
1072.000000	-14.987037	2.661941
1072.000000	-14.163343	2.734536
1072.000000	-13.339650	2.806133
1072.000000	-12.515956	2.876069
1072.000000	-11.692262	2.943302
1072.000000	-10.868569	3.013578
1072.000000	-10.044875	3.093075
1072.000000	-9.221182	3.183586
1072.000000	-8.397488	3.287883
1072.000000	-7.573794	3.408185
1072.000000	-6.750101	3.548246
1072.000000	-5.926407	3.713018
1072.000000	-5.102714	3.910184
1072.000000	-4.279020	4.152984
1072.000000	-3.455326	4.466059
1072.000000	-2.631633	4.904777
1072.000000	3.298961	5.349492
1072.000000	4.122655	5.143175
1072.000000	4.946348	4.982837
1072.000000	5.770042	4.845066
1072.000000	6.593735	4.720428
1072.000000	7.417429	4.606302
1072.000000	8.241123	4.501899
1072.000000	9.064816	4.406997
1072.000000	9.888510	4.322974
1072.000000	10.712203	4.248286
1072.000000	11.535897	4.184048
1072.000000	12.359591	4.115144
1072.000000	13.183284	4.038541
1072.000000	14.006978	3.952607
1072.000000	14.830671	3.855528
