Plot Name 
Original mesh grid size: 60 rows, 45 columns
x	y	z
747.000000	-19.105505	93.620055
747.000000	-18.281811	93.603484
747.000000	-17.458118	93.561336
747.000000	-16.634424	93.494687
747.000000	-15.810730	93.409885
747.000000	-14.987037	93.316128
747.000000	-14.163343	93.228011
747.000000	-13.339650	93.157128
747.000000	-12.515956	93.107201
747.000000	-11.692262	93.082365
747.000000	-10.868569	93.066615
747.000000	-10.044875	93.045252
747.000000	-9.221182	93.016825
747.000000	-8.397488	92.978540
747.000000	-7.573794	92.930237
747.000000	-6.750101	92.869723
747.000000	-5.926407	92.794538
747.000000	-5.102714	92.699973
747.000000	-4.279020	92.575739
747.000000	-3.455326	92.399363
747.000000	-2.631633	92.112437
747.000000	-1.807939	91.534802
747.000000	2.145790	90.264799
747.000000	2.969484	90.000000
747.000000	3.793177	90.000000
747.000000	4.616871	90.000000
747.000000	5.440564	90.000000
747.000000	6.264258	90.000000
747.000000	7.087952	90.000000
747.000000	7.911645	90.000000
747.000000	8.735339	90.000000
747.000000	9.559032	90.000000
747.000000	10.382726	90.000000
747.000000	11.206420	90.000000
747.000000	12.030113	90.000000
747.000000	12.853807	90.000000
747.000000	13.677500	90.000000
747.000000	14.501194	90.000000
747.000000	15.324888	90.000000
747.000000	16.148581	90.000000
747.000000	16.972275	90.000000
747.000000	17.795968	90.000000
747.000000	18.619662	90.000000
747.000000	19.443355	90.000000
747.000000	20.267049	90.000000
1072.000000	-19.105505	94.378199
1072.000000	-18.281811	94.424102
1072.000000	-17.458118	94.440827
1072.000000	-16.634424	94.430694
1072.000000	-15.810730	94.401823
1072.000000	-14.987037	94.364809
1072.000000	-14.163343	94.335094
1072.000000	-13.339650	94.324485
1072.000000	-12.515956	94.335495
1072.000000	-11.692262	94.371241
1072.000000	-10.868569	94.415254
1072.000000	-10.044875	94.452778
1072.000000	-9.221182	94.483038
1072.000000	-8.397488	94.504029
1072.000000	-7.573794	94.516612
1072.000000	-6.750101	94.519884
1072.000000	-5.926407	94.513036
1072.000000	-5.102714	94.493672
1072.000000	-4.279020	94.455244
1072.000000	-3.455326	94.382266
1072.000000	-2.631633	94.232574
1072.000000	-1.807939	93.873884
1072.000000	2.145790	93.261779
1072.000000	2.969484	93.126138
1072.000000	3.793177	92.861906
1072.000000	4.616871	92.566444
1072.000000	5.440564	92.279116
1072.000000	6.264258	92.013174
1072.000000	7.087952	91.768948
1072.000000	7.911645	91.544429
1072.000000	8.735339	91.331756
1072.000000	9.559032	91.123864
1072.000000	10.382726	90.917101
1072.000000	11.206420	90.701864
1072.000000	12.030113	90.505878
1072.000000	12.853807	90.347667
1072.000000	13.677500	90.264292
1072.000000	14.501194	90.238396
1072.000000	15.324888	90.253859
1072.000000	16.148581	90.281220
1072.000000	16.972275	90.272097
1072.000000	17.795968	90.202431
1072.000000	18.619662	90.057492
1072.000000	19.443355	90.000000
1072.000000	20.267049	90.000000
1397.000000	-19.105505	95.004857
1397.000000	-18.281811	95.085611
1397.000000	-17.458118	95.135214
1397.000000	-16.634424	95.156885
1397.000000	-15.810730	95.159509
1397.000000	-14.987037	95.153966
1397.000000	-14.163343	95.155332
1397.000000	-13.339650	95.174817
1397.000000	-12.515956	95.214099
1397.000000	-11.692262	95.275559
1397.000000	-10.868569	95.343427
1397.000000	-10.044875	95.403843
1397.000000	-9.221182	95.456499
1397.000000	-8.397488	95.499949
1397.000000	-7.573794	95.535518
1397.000000	-6.750101	95.562953
1397.000000	-5.926407	95.582205
1397.000000	-5.102714	95.591972
1397.000000	-4.279020	95.587604
1397.000000	-3.455326	95.557383
1397.000000	-2.631633	95.468402
1397.000000	-1.807939	95.216506
1397.000000	2.145790	94.866135
1397.000000	2.969484	94.799622
1397.000000	3.793177	94.631981
1397.000000	4.616871	94.435825
1397.000000	5.440564	94.239199
1397.000000	6.264258	94.051054
1397.000000	7.087952	93.871415
1397.000000	7.911645	93.698891
1397.000000	8.735339	93.528188
1397.000000	9.559032	93.354546
1397.000000	10.382726	93.175438
1397.000000	11.206420	92.984153
1397.000000	12.030113	92.800556
1397.000000	12.853807	92.641647
1397.000000	13.677500	92.537683
1397.000000	14.501194	92.475807
1397.000000	15.324888	92.444950
1397.000000	16.148581	92.422053
1397.000000	16.972275	92.368575
1397.000000	17.795968	92.264378
1397.000000	18.619662	92.096336
1397.000000	19.443355	91.848741
1397.000000	20.267049	91.501715
1722.000000	-19.105505	95.520219
1722.000000	-18.281811	95.620250
1722.000000	-17.458118	95.688310
1722.000000	-16.634424	95.728225
1722.000000	-15.810730	95.749129
1722.000000	-14.987037	95.761734
1722.000000	-14.163343	95.780368
1722.000000	-13.339650	95.815474
1722.000000	-12.515956	95.868196
1722.000000	-11.692262	95.940421
1722.000000	-10.868569	96.017416
1722.000000	-10.044875	96.086426
1722.000000	-9.221182	96.147455
1722.000000	-8.397488	96.199455
1722.000000	-7.573794	96.243964
1722.000000	-6.750101	96.281093
1722.000000	-5.926407	96.311183
1722.000000	-5.102714	96.333529
1722.000000	-4.279020	96.344612
1722.000000	-3.455326	96.335071
1722.000000	-2.631633	96.278010
1722.000000	-1.807939	96.087814
1722.000000	2.145790	95.865858
1722.000000	2.969484	95.829851
1722.000000	3.793177	95.710785
1722.000000	4.616871	95.566513
1722.000000	5.440564	95.418795
1722.000000	6.264258	95.274332
1722.000000	7.087952	95.133014
1722.000000	7.911645	94.993716
1722.000000	8.735339	94.852394
1722.000000	9.559032	94.705394
1722.000000	10.382726	94.550674
1722.000000	11.206420	94.382980
1722.000000	12.030113	94.217585
1722.000000	12.853807	94.069580
1722.000000	13.677500	93.964387
1722.000000	14.501194	93.891707
1722.000000	15.324888	93.843206
1722.000000	16.148581	93.799896
1722.000000	16.972275	93.729712
1722.000000	17.795968	93.615344
1722.000000	18.619662	93.445037
1722.000000	19.443355	93.204452
1722.000000	20.267049	92.874848
2047.000000	-19.105505	95.947703
2047.000000	-18.281811	96.058013
2047.000000	-17.458118	96.136267
2047.000000	-16.634424	96.186682
2047.000000	-15.810730	96.218374
2047.000000	-14.987037	96.241699
2047.000000	-14.163343	96.270144
2047.000000	-13.339650	96.313399
2047.000000	-12.515956	96.372260
2047.000000	-11.692262	96.448277
2047.000000	-10.868569	96.527797
2047.000000	-10.044875	96.599131
2047.000000	-9.221182	96.662495
2047.000000	-8.397488	96.717125
2047.000000	-7.573794	96.764649
2047.000000	-6.750101	96.805386
2047.000000	-5.926407	96.839893
2047.000000	-5.102714	96.867819
2047.000000	-4.279020	96.886389
2047.000000	-3.455326	96.887853
2047.000000	-2.631633	96.849538
2047.000000	-1.807939	96.698978
2047.000000	2.145790	96.548642
2047.000000	2.969484	96.527991
2047.000000	3.793177	96.437109
2047.000000	4.616871	96.323976
2047.000000	5.440564	96.206319
2047.000000	6.264258	96.089462
2047.000000	7.087952	95.973219
2047.000000	7.911645	95.856618
2047.000000	8.735339	95.736356
2047.000000	9.559032	95.609424
2047.000000	10.382726	95.474059
2047.000000	11.206420	95.325887
2047.000000	12.030113	95.177217
2047.000000	12.853807	95.041439
2047.000000	13.677500	94.940422
2047.000000	14.501194	94.865534
2047.000000	15.324888	94.810116
2047.000000	16.148581	94.757998
2047.000000	16.972275	94.681671
2047.000000	17.795968	94.565913
2047.000000	18.619662	94.400064
2047.000000	19.443355	94.170925
2047.000000	20.267049	93.860862
2372.000000	-19.105505	96.306449
2372.000000	-18.281811	96.421702
2372.000000	-17.458118	96.505264
2372.000000	-16.634424	96.561591
2372.000000	-15.810730	96.599643
2372.000000	-14.987037	96.629344
2372.000000	-14.163343	96.663358
2372.000000	-13.339650	96.710682
2372.000000	-12.515956	96.771881
2372.000000	-11.692262	96.848265
2372.000000	-10.868569	96.927199
2372.000000	-10.044875	96.997958
2372.000000	-9.221182	97.060899
2372.000000	-8.397488	97.115465
2372.000000	-7.573794	97.163307
2372.000000	-6.750101	97.204871
2372.000000	-5.926407	97.240830
2372.000000	-5.102714	97.271060
2372.000000	-4.279020	97.293305
2372.000000	-3.455326	97.300988
2372.000000	-2.631633	97.274567
2372.000000	-1.807939	97.151384
2372.000000	2.145790	97.044611
2372.000000	2.969484	97.032352
2372.000000	3.793177	96.959452
2372.000000	4.616871	96.866797
2372.000000	5.440564	96.769303
2372.000000	6.264258	96.671355
2372.000000	7.087952	96.572727
2372.000000	7.911645	96.472545
2372.000000	8.735339	96.367998
2372.000000	9.559032	96.256506
2372.000000	10.382726	96.136494
2372.000000	11.206420	96.004183
2372.000000	12.030113	95.869834
2372.000000	12.853807	95.745401
2372.000000	13.677500	95.650048
2372.000000	14.501194	95.576321
2372.000000	15.324888	95.518685
2372.000000	16.148581	95.463037
2372.000000	16.972275	95.385253
2372.000000	17.795968	95.271719
2372.000000	18.619662	95.112657
2372.000000	19.443355	94.895820
2372.000000	20.267049	94.604577
2697.000000	-19.105505	96.611066
2697.000000	-18.281811	96.728030
2697.000000	-17.458118	96.813939
2697.000000	-16.634424	96.873380
2697.000000	-15.810730	96.915081
2697.000000	-14.987037	96.948521
2697.000000	-14.163343	96.985589
2697.000000	-13.339650	97.034664
2697.000000	-12.515956	97.096150
2697.000000	-11.692262	97.171182
2697.000000	-10.868569	97.248048
2697.000000	-10.044875	97.316876
2697.000000	-9.221182	97.378116
2697.000000	-8.397488	97.431364
2697.000000	-7.573794	97.478258
2697.000000	-6.750101	97.519320
2697.000000	-5.926407	97.555288
2697.000000	-5.102714	97.586187
2697.000000	-4.279020	97.610143
2697.000000	-3.455326	97.621468
2697.000000	-2.631633	97.603034
2697.000000	-1.807939	97.499784
2697.000000	2.145790	97.421221
2697.000000	2.969484	97.413791
2697.000000	3.793177	97.353166
2697.000000	4.616871	97.274880
2697.000000	5.440564	97.191769
2697.000000	6.264258	97.107542
2697.000000	7.087952	97.021944
2697.000000	7.911645	96.934175
2697.000000	8.735339	96.841777
2697.000000	9.559032	96.742478
2697.000000	10.382726	96.634841
2697.000000	11.206420	96.515524
2697.000000	12.030113	96.393295
2697.000000	12.853807	96.278909
2697.000000	13.677500	96.189406
2697.000000	14.501194	96.118218
2697.000000	15.324888	96.060604
2697.000000	16.148581	96.004051
2697.000000	16.972275	95.927055
2697.000000	17.795968	95.817283
2697.000000	18.619662	95.665688
2697.000000	19.443355	95.460829
2697.000000	20.267049	95.186977
3022.000000	-19.105505	96.872562
3022.000000	-18.281811	96.989259
3022.000000	-17.458118	97.075689
3022.000000	-16.634424	97.136497
3022.000000	-15.810730	97.180147
3022.000000	-14.987037	97.215674
3022.000000	-14.163343	97.254261
3022.000000	-13.339650	97.303735
3022.000000	-12.515956	97.364385
3022.000000	-11.692262	97.437213
3022.000000	-10.868569	97.511337
3022.000000	-10.044875	97.577627
3022.000000	-9.221182	97.636599
3022.000000	-8.397488	97.687962
3022.000000	-7.573794	97.733323
3022.000000	-6.750101	97.773248
3022.000000	-5.926407	97.808508
3022.000000	-5.102714	97.839229
3022.000000	-4.279020	97.863831
3022.000000	-3.455326	97.877323
3022.000000	-2.631633	97.864493
3022.000000	-1.807939	97.776345
3022.000000	2.145790	97.716934
3022.000000	2.969484	97.712369
3022.000000	3.793177	97.660558
3022.000000	4.616871	97.592849
3022.000000	5.440564	97.520480
