Plot Name 
Original mesh grid size: 60 rows, 49 columns
x	y	z
747.000000	-19.105505	3.774858
747.000000	-18.281811	3.732777
747.000000	-17.458118	3.708093
747.000000	-16.634424	3.699142
747.000000	-15.810730	3.699991
747.000000	-14.987037	3.702406
747.000000	-14.163343	3.693881
747.000000	-13.339650	3.664561
747.000000	-12.515956	3.610937
747.000000	-11.692262	3.529331
747.000000	-10.868569	3.431552
747.000000	-10.044875	3.327393
747.000000	-9.221182	3.215848
747.000000	-8.397488	3.096194
747.000000	-7.573794	2.964929
747.000000	-6.750101	2.818766
747.000000	-5.926407	2.652726
747.000000	-5.102714	2.460297
747.000000	-4.279020	2.233253
747.000000	-3.455326	1.960879
747.000000	-2.631633	1.630488
747.000000	-1.807939	1.227491
747.000000	-0.984246	0.733184
747.000000	-0.160552	0.130520
747.000000	0.663142	0.582234
747.000000	1.486835	1.392488
747.000000	2.310529	2.275340
747.000000	3.134222	3.196019
747.000000	3.957916	4.111657
747.000000	4.781610	4.983518
747.000000	5.605303	5.785692
747.000000	6.428997	6.503823
747.000000	7.252690	7.140521
747.000000	8.076384	7.701027
747.000000	8.900077	8.199176
747.000000	9.723771	8.653911
747.000000	10.547465	9.068429
747.000000	11.371158	9.469064
747.000000	12.194852	9.789181
747.000000	13.018545	10.024686
747.000000	13.842239	10.142710
747.000000	14.665933	10.150655
747.000000	15.489626	10.102785
747.000000	16.313320	10.040791
747.000000	17.137013	10.029797
747.000000	17.960707	10.100843
747.000000	18.784401	10.271544
747.000000	19.608094	10.549897
747.000000	20.431788	10.955238
1072.000000	-19.105505	3.559913
1072.000000	-18.281811	3.475123
1072.000000	-17.458118	3.412574
1072.000000	-16.634424	3.369477
1072.000000	-15.810730	3.338346
1072.000000	-14.987037	3.309767
1072.000000	-14.163343	3.270553
1072.000000	-13.339650	3.210878
1072.000000	-12.515956	3.128569
1072.000000	-11.692262	3.021184
1072.000000	-10.868569	2.901511
1072.000000	-10.044875	2.779936
1072.000000	-9.221182	2.655517
1072.000000	-8.397488	2.527711
1072.000000	-7.573794	2.393322
1072.000000	-6.750101	2.249598
1072.000000	-5.926407	2.092492
1072.000000	-5.102714	1.917008
1072.000000	-4.279020	1.717263
1072.000000	-3.455326	1.486049
1072.000000	-2.631633	1.215639
1072.000000	-1.807939	0.898317
1072.000000	-0.984246	0.525441
1072.000000	-0.160552	0.091417
1072.000000	0.663142	0.397802
1072.000000	1.486835	0.927347
1072.000000	2.310529	1.479083
1072.000000	3.134222	2.034738
1072.000000	3.957916	2.575286
1072.000000	4.781610	3.086232
1072.000000	5.605303	3.560301
1072.000000	6.428997	3.995242
1072.000000	7.252690	4.395814
1072.000000	8.076384	4.766500
1072.000000	8.900077	5.115136
1072.000000	9.723771	5.451802
1072.000000	10.547465	5.778354
1072.000000	11.371158	6.108773
1072.000000	12.194852	6.404790
1072.000000	13.018545	6.654293
1072.000000	13.842239	6.832216
1072.000000	14.665933	6.941783
1072.000000	15.489626	7.012929
1072.000000	16.313320	7.074579
1072.000000	17.137013	7.172616
1072.000000	17.960707	7.331890
1072.000000	18.784401	7.569193
1072.000000	19.608094	7.896569
1072.000000	20.431788	8.336485
1397.000000	-19.105505	3.286469
1397.000000	-18.281811	3.178351
1397.000000	-17.458118	3.095276
1397.000000	-16.634424	3.033638
1397.000000	-15.810730	2.985276
1397.000000	-14.987037	2.940546
1397.000000	-14.163343	2.886600
1397.000000	-13.339650	2.814223
1397.000000	-12.515956	2.722076
1397.000000	-11.692262	2.608471
1397.000000	-10.868569	2.485868
1397.000000	-10.044875	2.364183
1397.000000	-9.221182	2.242413
1397.000000	-8.397488	2.120000
1397.000000	-7.573794	1.993968
1397.000000	-6.750101	1.861877
1397.000000	-5.926407	1.720249
1397.000000	-5.102714	1.564976
1397.000000	-4.279020	1.391448
1397.000000	-3.455326	1.194264
1397.000000	-2.631633	0.968040
1397.000000	-1.807939	0.707985
1397.000000	-0.984246	0.409374
1397.000000	-0.160552	0.070350
1397.000000	0.663142	0.302145
1397.000000	1.486835	0.694969
1397.000000	2.310529	1.094654
1397.000000	3.134222	1.489970
1397.000000	3.957916	1.870180
1397.000000	4.781610	2.228055
1397.000000	5.605303	2.561149
1397.000000	6.428997	2.869956
1397.000000	7.252690	3.159003
1397.000000	8.076384	3.432139
1397.000000	8.900077	3.695074
1397.000000	9.723771	3.954850
1397.000000	10.547465	4.213159
1397.000000	11.371158	4.479567
1397.000000	12.194852	4.728254
1397.000000	13.018545	4.946952
1397.000000	13.842239	5.116099
1397.000000	14.665933	5.238077
1397.000000	15.489626	5.332729
1397.000000	16.313320	5.422210
1397.000000	17.137013	5.541527
1397.000000	17.960707	5.710730
1397.000000	18.784401	5.944340
1397.000000	19.608094	6.254368
1397.000000	20.431788	6.662034
1722.000000	-19.105505	3.022716
1722.000000	-18.281811	2.902743
1722.000000	-17.458118	2.809224
1722.000000	-16.634424	2.738012
1722.000000	-15.810730	2.680737
1722.000000	-14.987037	2.627916
1722.000000	-14.163343	2.567358
1722.000000	-13.339650	2.490540
1722.000000	-12.515956	2.396624
1722.000000	-11.692262	2.284374
1722.000000	-10.868569	2.165518
1722.000000	-10.044875	2.049233
1722.000000	-9.221182	1.934465
1722.000000	-8.397488	1.820611
1722.000000	-7.573794	1.704894
1722.000000	-6.750101	1.585098
1722.000000	-5.926407	1.458155
1722.000000	-5.102714	1.320551
1722.000000	-4.279020	1.168481
1722.000000	-3.455326	0.997631
1722.000000	-2.631633	0.803935
1722.000000	-1.807939	0.584115
1722.000000	-0.984246	0.335307
1722.000000	-0.160552	0.057180
1722.000000	0.663142	0.243595
1722.000000	1.486835	0.555683
1722.000000	2.310529	0.868574
1722.000000	3.134222	1.174650
1722.000000	3.957916	1.467012
1722.000000	4.781610	1.741497
1722.000000	5.605303	1.997441
1722.000000	6.428997	2.236166
1722.000000	7.252690	2.461720
1722.000000	8.076384	2.677434
1722.000000	8.900077	2.887874
1722.000000	9.723771	3.098529
1722.000000	10.547465	3.310996
1722.000000	11.371158	3.532621
1722.000000	12.194852	3.744224
1722.000000	13.018545	3.934555
1722.000000	13.842239	4.087666
1722.000000	14.665933	4.205605
1722.000000	15.489626	4.303016
1722.000000	16.313320	4.397944
1722.000000	17.137013	4.518766
1722.000000	17.960707	4.682312
1722.000000	18.784401	4.901302
1722.000000	19.608094	5.187119
1722.000000	20.431788	5.559404
2047.000000	-19.105505	2.785177
2047.000000	-18.281811	2.659985
2047.000000	-17.458118	2.561776
2047.000000	-16.634424	2.486076
2047.000000	-15.810730	2.424544
2047.000000	-14.987037	2.368021
2047.000000	-14.163343	2.305040
2047.000000	-13.339650	2.227734
2047.000000	-12.515956	2.135569
2047.000000	-11.692262	2.027593
2047.000000	-10.868569	1.914714
2047.000000	-10.044875	1.805363
2047.000000	-9.221182	1.698453
2047.000000	-8.397488	1.593351
2047.000000	-7.573794	1.487463
2047.000000	-6.750101	1.378752
2047.000000	-5.926407	1.264468
2047.000000	-5.102714	1.141529
2047.000000	-4.279020	1.006689
2047.000000	-3.455326	0.856357
2047.000000	-2.631633	0.687298
2047.000000	-1.807939	0.497117
2047.000000	-0.984246	0.283952
2047.000000	-0.160552	0.048167
2047.000000	0.663142	0.204064
2047.000000	1.486835	0.462896
2047.000000	2.310529	0.719804
2047.000000	3.134222	0.969255
2047.000000	3.957916	1.206438
2047.000000	4.781610	1.428746
2047.000000	5.605303	1.636299
2047.000000	6.428997	1.830677
2047.000000	7.252690	2.015480
2047.000000	8.076384	2.193634
2047.000000	8.900077	2.368971
2047.000000	9.723771	2.546024
2047.000000	10.547465	2.726301
2047.000000	11.371158	2.915807
2047.000000	12.194852	3.099412
2047.000000	13.018545	3.266980
2047.000000	13.842239	3.405072
2047.000000	14.665933	3.515539
2047.000000	15.489626	3.609927
2047.000000	16.313320	3.703516
2047.000000	17.137013	3.820248
2047.000000	17.960707	3.974686
2047.000000	18.784401	4.178188
2047.000000	19.608094	4.441455
2047.000000	20.431788	4.782723
2372.000000	-19.105505	2.575704
2372.000000	-18.281811	2.449146
2372.000000	-17.458118	2.349561
2372.000000	-16.634424	2.272287
2372.000000	-15.810730	2.209143
2372.000000	-14.987037	2.151356
2372.000000	-14.163343	2.088162
2372.000000	-13.339650	2.012283
2372.000000	-12.515956	1.923373
2372.000000	-11.692262	1.820668
2372.000000	-10.868569	1.714290
2372.000000	-10.044875	1.611977
2372.000000	-9.221182	1.512637
2372.000000	-8.397488	1.415622
2372.000000	-7.573794	1.318499
2372.000000	-6.750101	1.219387
2372.000000	-5.926407	1.115791
2372.000000	-5.102714	1.004963
2372.000000	-4.279020	0.884066
2372.000000	-3.455326	0.750025
2372.000000	-2.631633	0.600174
2372.000000	-1.807939	0.432682
2372.000000	-0.984246	0.246261
2372.000000	-0.160552	0.041612
2372.000000	0.663142	0.175578
2372.000000	1.486835	0.396658
2372.000000	2.310529	0.614510
2372.000000	3.134222	0.824907
2372.000000	3.957916	1.024303
2372.000000	4.781610	1.210976
2372.000000	5.605303	1.385425
2372.000000	6.428997	1.549284
2372.000000	7.252690	1.705772
2372.000000	8.076384	1.857496
2372.000000	8.900077	2.007769
2372.000000	9.723771	2.160471
2372.000000	10.547465	2.317020
2372.000000	11.371158	2.482524
2372.000000	12.194852	2.644550
2372.000000	13.018545	2.793961
2372.000000	13.842239	2.919155
2372.000000	14.665933	3.021836
2372.000000	15.489626	3.111522
2372.000000	16.313320	3.201496
2372.000000	17.137013	3.312517
2372.000000	17.960707	3.457468
2372.000000	18.784401	3.646641
2372.000000	19.608094	3.890108
2372.000000	20.431788	4.204890
2697.000000	-19.105505	2.391915
2697.000000	-18.281811	2.266238
2697.000000	-17.458118	2.167193
2697.000000	-16.634424	2.090034
2697.000000	-15.810730	2.026802
2697.000000	-14.987037	1.969125
2697.000000	-14.163343	1.906892
2697.000000	-13.339650	1.833344
2697.000000	-12.515956	1.748260
2697.000000	-11.692262	1.651002
2697.000000	-10.868569	1.550971
2697.000000	-10.044875	1.455294
2697.000000	-9.221182	1.362887
2697.000000	-8.397488	1.273095
2697.000000	-7.573794	1.183636
2697.000000	-6.750101	1.092763
2697.000000	-5.926407	0.998190
2697.000000	-5.102714	0.897436
2697.000000	-4.279020	0.787979
2697.000000	-3.455326	0.667131
2697.000000	-2.631633	0.532637
2697.000000	-1.807939	0.383050
2697.000000	-0.984246	0.217428
2697.000000	-0.160552	0.036632
2697.000000	0.663142	0.154078
2697.000000	1.486835	0.347004
2697.000000	2.310529	0.536075
2697.000000	3.134222	0.717940
2697.000000	3.957916	0.889871
2697.000000	4.781610	1.050696
2697.000000	5.605303	1.201102
2697.000000	6.428997	1.342697
2697.000000	7.252690	1.478383
2697.000000	8.076384	1.610510
2697.000000	8.900077	1.742002
2697.000000	9.723771	1.876260
2697.000000	10.547465	2.014620
2697.000000	11.371158	2.161538
2697.000000	12.194852	2.306495
2697.000000	13.018545	2.441212
2697.000000	13.842239	2.555488
2697.000000	14.665933	2.650909
2697.000000	15.489626	2.735565
2697.000000	16.313320	2.821230
2697.000000	17.137013	2.926258
2697.000000	17.960707	3.062228
2697.000000	18.784401	3.238577
2697.000000	19.608094	3.464804
2697.000000	20.431788	3.756880
3022.000000	-19.105505	2.230462
3022.000000	-18.281811	2.106964
3022.000000	-17.458118	2.009565
3022.000000	-16.634424	1.933498
3022.000000	-15.810730	1.871061
3022.000000	-14.987037	1.814268
3022.000000	-14.163343	1.753611
3022.000000	-13.339650	1.682783
3022.000000	-12.515956	1.601649
3022.000000	-11.692262	1.509661
3022.000000	-10.868569	1.415570
3022.000000	-10.044875	1.325969
3022.000000	-9.221182	1.239790
3022.000000	-8.397488	1.156382
3022.000000	-7.573794	1.073598
3022.000000	-6.750101	0.989806
3022.000000	-5.926407	0.902900
3022.000000	-5.102714	0.810616
3022.000000	-4.279020	0.710681
3022.000000	-3.455326	0.600709
3022.000000	-2.631633	0.478757
3022.000000	-1.807939	0.343652
3022.000000	-0.984246	0.194665
3022.000000	-0.160552	0.032721
3022.000000	0.663142	0.137278
3022.000000	1.486835	0.308404
3022.000000	2.310529	0.475393
3022.000000	3.134222	0.635510
3022.000000	3.957916	0.786594
3022.000000	4.781610	0.927828
3022.000000	5.605303	1.059992
3022.000000	6.428997	1.184635
3022.000000	7.252690	1.304398
3022.000000	8.076384	1.421417
3022.000000	8.900077	1.538313
3022.000000	9.723771	1.658119
3022.000000	10.547465	1.782093
3022.000000	11.371158	1.914197
3022.000000	12.194852	2.045336
3022.000000	13.018545	2.167958
3022.000000	13.842239	2.272965
3022.000000	14.665933	2.361843
3022.000000	15.489626	2.441628
3022.000000	16.313320	2.522903
3022.000000	17.137013	2.622142
3022.000000	17.960707	2.749879
3022.000000	18.784401	2.914839
3022.000000	19.608094	3.126009
3022.000000	20.431788	3.398439
3347.000000	-19.105505	2.088084
3347.000000	-18.281811	1.967498
3347.000000	-17.458118	1.872367
3347.000000	-16.634424	1.797950
3347.000000	-15.810730	1.736808
3347.000000	-14.987037	1.681331
3347.000000	-14.163343	1.622550
3347.000000	-13.339650	1.554563
